As;Cd;CO;Cr;Cu;Hg;NH3;Ni;NO2;Pb;PM10;PM2.5;SO2;Zn
142,3;142,3;142,3;142,3;142,3;142,3;142,3;142,3;142,3;142,3;142,3;142,3;142,3;142,3
1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8;1478,8
151,3;151,3;151,3;151,3;151,3;151,3;151,3;151,3;151,3;151,3;151,3;151,3;151,3;151,3
152,0;152,0;152,0;152,0;152,0;152,0;152,0;152,0;152,0;152,0;152,0;152,0;152,0;152,0
153,3;153,3;153,3;153,3;153,3;153,3;153,3;153,3;153,3;153,3;153,3;153,3;153,3;153,3
154,7;154,7;154,7;154,7;154,7;154,7;154,7;154,7;154,7;154,7;154,7;154,7;154,7;154,7
158,4;158,4;158,4;158,4;158,4;158,4;158,4;158,4;158,4;158,4;158,4;158,4;158,4;158,4
159,1;159,1;159,1;159,1;159,1;159,1;159,1;159,1;159,1;159,1;159,1;159,1;159,1;159,1
159,3;159,3;159,3;159,3;159,3;159,3;159,3;159,3;159,3;159,3;159,3;159,3;159,3;159,3
16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1;16,1
16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8;16,8
160,4;160,4;160,4;160,4;160,4;160,4;160,4;160,4;160,4;160,4;160,4;160,4;160,4;160,4
161,7;161,7;161,7;161,7;161,7;161,7;161,7;161,7;161,7;161,7;161,7;161,7;161,7;161,7
163,3;163,3;163,3;163,3;163,3;163,3;163,3;163,3;163,3;163,3;163,3;163,3;163,3;163,3
1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1;1639.1
164,4;164,4;164,4;164,4;164,4;164,4;164,4;164,4;164,4;164,4;164,4;164,4;164,4;164,4
167,8;167,8;167,8;167,8;167,8;167,8;167,8;167,8;167,8;167,8;167,8;167,8;167,8;167,8
169,2;169,2;169,2;169,2;169,2;169,2;169,2;169,2;169,2;169,2;169,2;169,2;169,2;169,2
17,4;17,4;17,4;17,4;17,4;17,4;17,4;17,4;17,4;17,4;17,4;17,4;17,4;17,4
17,6;17,6;17,6;17,6;17,6;17,6;17,6;17,6;17,6;17,6;17,6;17,6;17,6;17,6
17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9;17,9
171,9;171,9;171,9;171,9;171,9;171,9;171,9;171,9;171,9;171,9;171,9;171,9;171,9;171,9
172,2;172,2;172,2;172,2;172,2;172,2;172,2;172,2;172,2;172,2;172,2;172,2;172,2;172,2
173,6;173,6;173,6;173,6;173,6;173,6;173,6;173,6;173,6;173,6;173,6;173,6;173,6;173,6
174,0;174,0;174,0;174,0;174,0;174,0;174,0;174,0;174,0;174,0;174,0;174,0;174,0;174,0
175,7;175,7;175,7;175,7;175,7;175,7;175,7;175,7;175,7;175,7;175,7;175,7;175,7;175,7
18,8;18,8;18,8;18,8;18,8;18,8;18,8;18,8;18,8;18,8;18,8;18,8;18,8;18,8
181,3;181,3;181,3;181,3;181,3;181,3;181,3;181,3;181,3;181,3;181,3;181,3;181,3;181,3
19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4;19,4
19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7;19,7
19,8;19,8;19,8;19,8;19,8;19,8;19,8;19,8;19,8;19,8;19,8;19,8;19,8;19,8
2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4;2,4
2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5
2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6;2,6
2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8;2,8
20,3;20,3;20,3;20,3;20,3;20,3;20,3;20,3;20,3;20,3;20,3;20,3;20,3;20,3
200,0;200,0;200,0;200,0;200,0;200,0;200,0;200,0;200,0;200,0;200,0;200,0;200,0;200,0
205,1;205,1;205,1;205,1;205,1;205,1;205,1;205,1;205,1;205,1;205,1;205,1;205,1;205,1
21,2;21,2;21,2;21,2;21,2;21,2;21,2;21,2;21,2;21,2;21,2;21,2;21,2;21,2
21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3;21,3
21,9;21,9;21,9;21,9;21,9;21,9;21,9;21,9;21,9;21,9;21,9;21,9;21,9;21,9
215,3;215,3;215,3;215,3;215,3;215,3;215,3;215,3;215,3;215,3;215,3;215,3;215,3;215,3
215,5;215,5;215,5;215,5;215,5;215,5;215,5;215,5;215,5;215,5;215,5;215,5;215,5;215,5
216,9;216,9;216,9;216,9;216,9;216,9;216,9;216,9;216,9;216,9;216,9;216,9;216,9;216,9
22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3;22,3
22,4;22,4;22,4;22,4;22,4;22,4;22,4;22,4;22,4;22,4;22,4;22,4;22,4;22,4
22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,6;22,6
23,1;23,1;23,1;23,1;23,1;23,1;23,1;23,1;23,1;23,1;23,1;23,1;23,1;23,1
231,5;231,5;231,5;231,5;231,5;231,5;231,5;231,5;231,5;231,5;231,5;231,5;231,5;231,5
233,8;233,8;233,8;233,8;233,8;233,8;233,8;233,8;233,8;233,8;233,8;233,8;233,8;233,8
236,1;236,1;236,1;236,1;236,1;236,1;236,1;236,1;236,1;236,1;236,1;236,1;236,1;236,1
24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0;24,0
24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6;24,6
240,2;240,2;240,2;240,2;240,2;240,2;240,2;240,2;240,2;240,2;240,2;240,2;240,2;240,2
242,1;242,1;242,1;242,1;242,1;242,1;242,1;242,1;242,1;242,1;242,1;242,1;242,1;242,1
249,2;249,2;249,2;249,2;249,2;249,2;249,2;249,2;249,2;249,2;249,2;249,2;249,2;249,2
25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1;25,1
25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5;25,5
25,9;25,9;25,9;25,9;25,9;25,9;25,9;25,9;25,9;25,9;25,9;25,9;25,9;25,9
251,4;251,4;251,4;251,4;251,4;251,4;251,4;251,4;251,4;251,4;251,4;251,4;251,4;251,4
251,7;251,7;251,7;251,7;251,7;251,7;251,7;251,7;251,7;251,7;251,7;251,7;251,7;251,7
26,3;26,3;26,3;26,3;26,3;26,3;26,3;26,3;26,3;26,3;26,3;26,3;26,3;26,3
26,7;26,7;26,7;26,7;26,7;26,7;26,7;26,7;26,7;26,7;26,7;26,7;26,7;26,7
27,1;27,1;27,1;27,1;27,1;27,1;27,1;27,1;27,1;27,1;27,1;27,1;27,1;27,1
2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3;2782.3
279,2;279,2;279,2;279,2;279,2;279,2;279,2;279,2;279,2;279,2;279,2;279,2;279,2;279,2
28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4;28,4
287,0;287,0;287,0;287,0;287,0;287,0;287,0;287,0;287,0;287,0;287,0;287,0;287,0;287,0
288,1;288,1;288,1;288,1;288,1;288,1;288,1;288,1;288,1;288,1;288,1;288,1;288,1;288,1
291,7;291,7;291,7;291,7;291,7;291,7;291,7;291,7;291,7;291,7;291,7;291,7;291,7;291,7
298,2;298,2;298,2;298,2;298,2;298,2;298,2;298,2;298,2;298,2;298,2;298,2;298,2;298,2
3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1
3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3;3,3
3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5;3,5
3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6
3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7
3,9;3,9;3,9;3,9;3,9;3,9;3,9;3,9;3,9;3,9;3,9;3,9;3,9;3,9
306,0;306,0;306,0;306,0;306,0;306,0;306,0;306,0;306,0;306,0;306,0;306,0;306,0;306,0
309,4;309,4;309,4;309,4;309,4;309,4;309,4;309,4;309,4;309,4;309,4;309,4;309,4;309,4
310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5;310,5
32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5;32,5
32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8;32,8
320,0;320,0;320,0;320,0;320,0;320,0;320,0;320,0;320,0;320,0;320,0;320,0;320,0;320,0
325,8;325,8;325,8;325,8;325,8;325,8;325,8;325,8;325,8;325,8;325,8;325,8;325,8;325,8
3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7;3273,7
328,1;328,1;328,1;328,1;328,1;328,1;328,1;328,1;328,1;328,1;328,1;328,1;328,1;328,1
33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8;33,8
330,9;330,9;330,9;330,9;330,9;330,9;330,9;330,9;330,9;330,9;330,9;330,9;330,9;330,9
332,5;332,5;332,5;332,5;332,5;332,5;332,5;332,5;332,5;332,5;332,5;332,5;332,5;332,5
333,0;333,0;333,0;333,0;333,0;333,0;333,0;333,0;333,0;333,0;333,0;333,0;333,0;333,0
333,3;333,3;333,3;333,3;333,3;333,3;333,3;333,3;333,3;333,3;333,3;333,3;333,3;333,3
334,6;334,6;334,6;334,6;334,6;334,6;334,6;334,6;334,6;334,6;334,6;334,6;334,6;334,6
335,0;335,0;335,0;335,0;335,0;335,0;335,0;335,0;335,0;335,0;335,0;335,0;335,0;335,0
336,6;336,6;336,6;336,6;336,6;336,6;336,6;336,6;336,6;336,6;336,6;336,6;336,6;336,6
34,1;34,1;34,1;34,1;34,1;34,1;34,1;34,1;34,1;34,1;34,1;34,1;34,1;34,1
34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5
343,7;343,7;343,7;343,7;343,7;343,7;343,7;343,7;343,7;343,7;343,7;343,7;343,7;343,7
35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8;35,8
350,2;350,2;350,2;350,2;350,2;350,2;350,2;350,2;350,2;350,2;350,2;350,2;350,2;350,2
358,8;358,8;358,8;358,8;358,8;358,8;358,8;358,8;358,8;358,8;358,8;358,8;358,8;358,8
36,0;36,0;36,0;36,0;36,0;36,0;36,0;36,0;36,0;36,0;36,0;36,0;36,0;36,0
37,0;37,0;37,0;37,0;37,0;37,0;37,0;37,0;37,0;37,0;37,0;37,0;37,0;37,0
37,7;37,7;37,7;37,7;37,7;37,7;37,7;37,7;37,7;37,7;37,7;37,7;37,7;37,7
37,9;37,9;37,9;37,9;37,9;37,9;37,9;37,9;37,9;37,9;37,9;37,9;37,9;37,9
372,9;372,9;372,9;372,9;372,9;372,9;372,9;372,9;372,9;372,9;372,9;372,9;372,9;372,9
38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2;38,2
38,4;38,4;38,4;38,4;38,4;38,4;38,4;38,4;38,4;38,4;38,4;38,4;38,4;38,4
4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0
4,3;4,3;4,3;4,3;4,3;4,3;4,3;4,3;4,3;4,3;4,3;4,3;4,3;4,3
4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4;4,4
4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6;4,6
4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,7;4,7
4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9
40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7;40,7
41,0;41,0;41,0;41,0;41,0;41,0;41,0;41,0;41,0;41,0;41,0;41,0;41,0;41,0
41,2;41,2;41,2;41,2;41,2;41,2;41,2;41,2;41,2;41,2;41,2;41,2;41,2;41,2
42,3;42,3;42,3;42,3;42,3;42,3;42,3;42,3;42,3;42,3;42,3;42,3;42,3;42,3
42,6;42,6;42,6;42,6;42,6;42,6;42,6;42,6;42,6;42,6;42,6;42,6;42,6;42,6
423,8;423,8;423,8;423,8;423,8;423,8;423,8;423,8;423,8;423,8;423,8;423,8;423,8;423,8
43,4;43,4;43,4;43,4;43,4;43,4;43,4;43,4;43,4;43,4;43,4;43,4;43,4;43,4
44,6;44,6;44,6;44,6;44,6;44,6;44,6;44,6;44,6;44,6;44,6;44,6;44,6;44,6
445,9;445,9;445,9;445,9;445,9;445,9;445,9;445,9;445,9;445,9;445,9;445,9;445,9;445,9
45,4;45,4;45,4;45,4;45,4;45,4;45,4;45,4;45,4;45,4;45,4;45,4;45,4;45,4
46,4;46,4;46,4;46,4;46,4;46,4;46,4;46,4;46,4;46,4;46,4;46,4;46,4;46,4
46,7;46,7;46,7;46,7;46,7;46,7;46,7;46,7;46,7;46,7;46,7;46,7;46,7;46,7
46,8;46,8;46,8;46,8;46,8;46,8;46,8;46,8;46,8;46,8;46,8;46,8;46,8;46,8
47,4;47,4;47,4;47,4;47,4;47,4;47,4;47,4;47,4;47,4;47,4;47,4;47,4;47,4
48,0;48,0;48,0;48,0;48,0;48,0;48,0;48,0;48,0;48,0;48,0;48,0;48,0;48,0
48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7;48,7
49,3;49,3;49,3;49,3;49,3;49,3;49,3;49,3;49,3;49,3;49,3;49,3;49,3;49,3
49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6
5,1;5,1;5,1;5,1;5,1;5,1;5,1;5,1;5,1;5,1;5,1;5,1;5,1;5,1
5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7;5,7
5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8
50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0;50,0
50,4;50,4;50,4;50,4;50,4;50,4;50,4;50,4;50,4;50,4;50,4;50,4;50,4;50,4
503,2;503,2;503,2;503,2;503,2;503,2;503,2;503,2;503,2;503,2;503,2;503,2;503,2;503,2
51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2;51,2
51,6;51,6;51,6;51,6;51,6;51,6;51,6;51,6;51,6;51,6;51,6;51,6;51,6;51,6
51,7;51,7;51,7;51,7;51,7;51,7;51,7;51,7;51,7;51,7;51,7;51,7;51,7;51,7
52,0;52,0;52,0;52,0;52,0;52,0;52,0;52,0;52,0;52,0;52,0;52,0;52,0;52,0
52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2;52,2
524,5;524,5;524,5;524,5;524,5;524,5;524,5;524,5;524,5;524,5;524,5;524,5;524,5;524,5
53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9;53,9
537,2;537,2;537,2;537,2;537,2;537,2;537,2;537,2;537,2;537,2;537,2;537,2;537,2;537,2
54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0
54,1;54,1;54,1;54,1;54,1;54,1;54,1;54,1;54,1;54,1;54,1;54,1;54,1;54,1
54,2;54,2;54,2;54,2;54,2;54,2;54,2;54,2;54,2;54,2;54,2;54,2;54,2;54,2
55,1;55,1;55,1;55,1;55,1;55,1;55,1;55,1;55,1;55,1;55,1;55,1;55,1;55,1
55,3;55,3;55,3;55,3;55,3;55,3;55,3;55,3;55,3;55,3;55,3;55,3;55,3;55,3
56,5;56,5;56,5;56,5;56,5;56,5;56,5;56,5;56,5;56,5;56,5;56,5;56,5;56,5
56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6;56,6
56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8;56,8
57,0;57,0;57,0;57,0;57,0;57,0;57,0;57,0;57,0;57,0;57,0;57,0;57,0;57,0
575.7;575.7;575.7;575.7;575.7;575.7;575.7;575.7;575.7;575.7;575.7;575.7;575.7;575.7
59,3;59,3;59,3;59,3;59,3;59,3;59,3;59,3;59,3;59,3;59,3;59,3;59,3;59,3
6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,4
6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6;6,6
6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8;6,8
6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9;6,9
60,0;60,0;60,0;60,0;60,0;60,0;60,0;60,0;60,0;60,0;60,0;60,0;60,0;60,0
60,2;60,2;60,2;60,2;60,2;60,2;60,2;60,2;60,2;60,2;60,2;60,2;60,2;60,2
601.0;601.0;601.0;601.0;601.0;601.0;601.0;601.0;601.0;601.0;601.0;601.0;601.0;601.0
61,8;61,8;61,8;61,8;61,8;61,8;61,8;61,8;61,8;61,8;61,8;61,8;61,8;61,8
62,7;62,7;62,7;62,7;62,7;62,7;62,7;62,7;62,7;62,7;62,7;62,7;62,7;62,7
63,4;63,4;63,4;63,4;63,4;63,4;63,4;63,4;63,4;63,4;63,4;63,4;63,4;63,4
64,7;64,7;64,7;64,7;64,7;64,7;64,7;64,7;64,7;64,7;64,7;64,7;64,7;64,7
64,9;64,9;64,9;64,9;64,9;64,9;64,9;64,9;64,9;64,9;64,9;64,9;64,9;64,9
65,7;65,7;65,7;65,7;65,7;65,7;65,7;65,7;65,7;65,7;65,7;65,7;65,7;65,7
66,5;66,5;66,5;66,5;66,5;66,5;66,5;66,5;66,5;66,5;66,5;66,5;66,5;66,5
67,7;67,7;67,7;67,7;67,7;67,7;67,7;67,7;67,7;67,7;67,7;67,7;67,7;67,7
67,9;67,9;67,9;67,9;67,9;67,9;67,9;67,9;67,9;67,9;67,9;67,9;67,9;67,9
676.0;676.0;676.0;676.0;676.0;676.0;676.0;676.0;676.0;676.0;676.0;676.0;676.0;676.0
68,8;68,8;68,8;68,8;68,8;68,8;68,8;68,8;68,8;68,8;68,8;68,8;68,8;68,8
69,3;69,3;69,3;69,3;69,3;69,3;69,3;69,3;69,3;69,3;69,3;69,3;69,3;69,3
69,5;69,5;69,5;69,5;69,5;69,5;69,5;69,5;69,5;69,5;69,5;69,5;69,5;69,5
69,8;69,8;69,8;69,8;69,8;69,8;69,8;69,8;69,8;69,8;69,8;69,8;69,8;69,8
698.1;698.1;698.1;698.1;698.1;698.1;698.1;698.1;698.1;698.1;698.1;698.1;698.1;698.1
7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2;7,2
7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3;7,3
7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8;7,8
70,2;70,2;70,2;70,2;70,2;70,2;70,2;70,2;70,2;70,2;70,2;70,2;70,2;70,2
70,7;70,7;70,7;70,7;70,7;70,7;70,7;70,7;70,7;70,7;70,7;70,7;70,7;70,7
70,8;70,8;70,8;70,8;70,8;70,8;70,8;70,8;70,8;70,8;70,8;70,8;70,8;70,8
704,3;704,3;704,3;704,3;704,3;704,3;704,3;704,3;704,3;704,3;704,3;704,3;704,3;704,3
707,3;707,3;707,3;707,3;707,3;707,3;707,3;707,3;707,3;707,3;707,3;707,3;707,3;707,3
726.2;726.2;726.2;726.2;726.2;726.2;726.2;726.2;726.2;726.2;726.2;726.2;726.2;726.2
728,4;728,4;728,4;728,4;728,4;728,4;728,4;728,4;728,4;728,4;728,4;728,4;728,4;728,4
73,1;73,1;73,1;73,1;73,1;73,1;73,1;73,1;73,1;73,1;73,1;73,1;73,1;73,1
74,7;74,7;74,7;74,7;74,7;74,7;74,7;74,7;74,7;74,7;74,7;74,7;74,7;74,7
744,3;744,3;744,3;744,3;744,3;744,3;744,3;744,3;744,3;744,3;744,3;744,3;744,3;744,3
748,4;748,4;748,4;748,4;748,4;748,4;748,4;748,4;748,4;748,4;748,4;748,4;748,4;748,4
760,8;760,8;760,8;760,8;760,8;760,8;760,8;760,8;760,8;760,8;760,8;760,8;760,8;760,8
764,1;764,1;764,1;764,1;764,1;764,1;764,1;764,1;764,1;764,1;764,1;764,1;764,1;764,1
77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5;77,5
77,8;77,8;77,8;77,8;77,8;77,8;77,8;77,8;77,8;77,8;77,8;77,8;77,8;77,8
79,1;79,1;79,1;79,1;79,1;79,1;79,1;79,1;79,1;79,1;79,1;79,1;79,1;79,1
8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0;8,0
8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1;8,1
8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3;8,3
8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4;8,4
8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6;8,6
80,9;80,9;80,9;80,9;80,9;80,9;80,9;80,9;80,9;80,9;80,9;80,9;80,9;80,9
802,8;802,8;802,8;802,8;802,8;802,8;802,8;802,8;802,8;802,8;802,8;802,8;802,8;802,8
81,6;81,6;81,6;81,6;81,6;81,6;81,6;81,6;81,6;81,6;81,6;81,6;81,6;81,6
828,4;828,4;828,4;828,4;828,4;828,4;828,4;828,4;828,4;828,4;828,4;828,4;828,4;828,4
83,1;83,1;83,1;83,1;83,1;83,1;83,1;83,1;83,1;83,1;83,1;83,1;83,1;83,1
83,2;83,2;83,2;83,2;83,2;83,2;83,2;83,2;83,2;83,2;83,2;83,2;83,2;83,2
830.3;830.3;830.3;830.3;830.3;830.3;830.3;830.3;830.3;830.3;830.3;830.3;830.3;830.3
84,6;84,6;84,6;84,6;84,6;84,6;84,6;84,6;84,6;84,6;84,6;84,6;84,6;84,6
84,7;84,7;84,7;84,7;84,7;84,7;84,7;84,7;84,7;84,7;84,7;84,7;84,7;84,7
84,8;84,8;84,8;84,8;84,8;84,8;84,8;84,8;84,8;84,8;84,8;84,8;84,8;84,8
85,1;85,1;85,1;85,1;85,1;85,1;85,1;85,1;85,1;85,1;85,1;85,1;85,1;85,1
85,5;85,5;85,5;85,5;85,5;85,5;85,5;85,5;85,5;85,5;85,5;85,5;85,5;85,5
87,0;87,0;87,0;87,0;87,0;87,0;87,0;87,0;87,0;87,0;87,0;87,0;87,0;87,0
87,4;87,4;87,4;87,4;87,4;87,4;87,4;87,4;87,4;87,4;87,4;87,4;87,4;87,4
88,9;88,9;88,9;88,9;88,9;88,9;88,9;88,9;88,9;88,9;88,9;88,9;88,9;88,9
90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0
915,5;915,5;915,5;915,5;915,5;915,5;915,5;915,5;915,5;915,5;915,5;915,5;915,5;915,5
92,6;92,6;92,6;92,6;92,6;92,6;92,6;92,6;92,6;92,6;92,6;92,6;92,6;92,6
93,7;93,7;93,7;93,7;93,7;93,7;93,7;93,7;93,7;93,7;93,7;93,7;93,7;93,7
94,4;94,4;94,4;94,4;94,4;94,4;94,4;94,4;94,4;94,4;94,4;94,4;94,4;94,4
96,2;96,2;96,2;96,2;96,2;96,2;96,2;96,2;96,2;96,2;96,2;96,2;96,2;96,2
96,8;96,8;96,8;96,8;96,8;96,8;96,8;96,8;96,8;96,8;96,8;96,8;96,8;96,8
97,1;97,1;97,1;97,1;97,1;97,1;97,1;97,1;97,1;97,1;97,1;97,1;97,1;97,1
97,8;97,8;97,8;97,8;97,8;97,8;97,8;97,8;97,8;97,8;97,8;97,8;97,8;97,8
975.4;975.4;975.4;975.4;975.4;975.4;975.4;975.4;975.4;975.4;975.4;975.4;975.4;975.4
